iter	Passed	Remaining
875	10145	1436
876	10158	1424
877	10168	1412
878	10179	1401
879	10190	1389
880	10201	1377
881	10212	1366
882	10223	1354
883	10235	1343
884	10247	1331
885	10258	1319
886	10269	1308
887	10281	1296
888	10293	1285
889	10305	1273
890	10317	1262
891	10328	1250
892	10340	1238
893	10350	1227
894	10362	1215
895	10375	1204
896	10386	1192
897	10397	1181
898	10408	1169
899	10419	1157
900	10430	1146
901	10441	1134
902	10454	1123
903	10465	1111
904	10476	1099
905	10487	1088
906	10500	1076
907	10512	1065
908	10524	1053
909	10536	1042
910	10546	1030
911	10559	1018
912	10571	1007
913	10582	995
914	10592	984
915	10604	972
916	10615	960
917	10627	949
918	10638	937
919	10650	926
920	10662	914
921	10673	902
922	10683	891
923	10695	879
924	10706	868
925	10718	856
926	10729	844
927	10740	833
928	10751	821
929	10762	810
930	10774	798
931	10785	786
932	10796	775
933	10809	763
934	10821	752
935	10833	740
936	10846	729
937	10858	717
938	10869	706
939	10882	694
940	10894	683
941	10904	671
942	10915	659
943	10927	648
944	10939	636
945	10950	625
946	10961	613
947	10973	601
948	10985	590
949	10996	578
950	11009	567
951	11020	555
952	11032	544
953	11045	532
954	11056	521
955	11068	509
956	11080	497
957	11091	486
958	11102	474
959	11115	463
960	11127	451
961	11138	439
962	11150	428
963	11161	416
964	11174	405
965	11184	393
966	11196	382
967	11207	370
968	11219	358
969	11231	347
970	11243	335
971	11255	324
972	11266	312
973	11278	301
974	11290	289
975	11302	277
976	11314	266
977	11326	254
978	11337	243
979	11349	231
980	11362	220
981	11374	208
982	11387	196
983	11400	185
984	11411	173
985	11423	162
986	11433	150
987	11445	139
988	11458	127
989	11469	115
990	11480	104
991	11492	92
992	11503	81
993	11514	69
994	11526	57
995	11537	46
996	11550	34
997	11562	23
998	11573	11
999	11584	0
